Sl. No. ( Col. 1 ),State/UT ( Col. 2 ),Cases Pending Trial from the Previous Year ( Col. 3 ),Cases Sent for Trial during the year ( Col. 4 ),Total Cases for Trial ( Col. 5 ),Cases Abated by Court ( Col. 6 ),Cases Withdrawn from Prosecution ( Col. 7 ),Cases Quashed ( Col. 8 ),Cases Disposed off without trial (Col.6 +Col.7+Col.8) ( Col. 9 ),Cases Stayed ( Col. 10 ),Cases Convicted ( Col. 11 ),Cases Discharged ( Col. 12 ),Cases Acquitted ( Col. 13 ),Cases in which Trials were Completed ( Col. 14 ),Cases Disposed off by Courts ( Col. 15 ),Cases Pending Trial at End of the Year ( Col. 16 ),Conviction Rate (Col.11/ Col.14) *100 ( Col. 17 ),Pendency Percentage (Col.16/ Col.5)*100 ( Col. 18 )
1,Andhra Pradesh,947,153,1100,8,0,0,8,6,20,0,21,41,49,1051,48.8,95.5
2,Arunachal Pradesh,42,5,47,0,0,0,0,0,0,0,0,0,0,47,NA,100
3,Assam,74,44,118,0,0,0,0,0,2,0,1,3,3,115,66.7,97.5
4,Bihar,1802,80,1882,10,0,1,11,7,10,0,10,20,31,1851,50,98.4
5,Chhattisgarh,212,5,217,0,0,0,0,1,7,0,8,15,15,202,46.7,93.1
6,Goa,24,0,24,0,0,0,0,0,1,0,0,1,1,23,100,95.8
7,Gujarat,2075,265,2340,10,0,0,10,1,47,5,47,99,109,2231,47.5,95.3
8,Haryana,393,197,590,0,0,0,0,0,9,0,30,39,39,551,23.1,93.4
9,Himachal Pradesh,319,31,350,0,1,0,1,0,2,4,21,27,28,322,7.4,92
10,Jharkhand,570,69,639,0,0,1,1,2,5,0,18,23,24,615,21.7,96.2
11,Karnataka,1495,195,1690,13,0,28,41,70,35,11,74,120,161,1529,29.2,90.5
12,Kerala,1055,108,1163,16,1,6,23,6,312,10,68,390,413,750,80,64.5
13,Madhya Pradesh,729,287,1016,0,0,0,0,0,163,0,71,234,234,782,69.7,77
14,Maharashtra,6747,522,7269,21,0,0,21,0,21,9,316,346,367,6902,6.1,95
15,Manipur,11,3,14,0,0,0,0,0,0,0,7,7,7,7,0,50
16,Meghalaya,8,0,8,0,0,0,0,0,0,0,0,0,0,8,NA,100
17,Mizoram,12,8,20,0,0,0,0,0,8,0,0,8,8,12,100,60
18,Nagaland,6,1,7,0,0,0,0,0,0,0,0,0,0,7,NA,100
19,Odisha,3633,361,3994,39,0,0,39,1,124,0,126,250,289,3705,49.6,92.8
20,Punjab,536,182,718,14,0,0,14,12,33,0,56,89,103,615,37.1,85.7
21,Rajasthan,3549,287,3836,12,0,6,18,91,110,2,189,301,319,3517,36.5,91.7
22,Sikkim,9,3,12,0,1,0,1,0,0,2,1,3,4,8,0,66.7
23,Tamil Nadu,1588,176,1764,13,1,6,20,5,92,0,47,139,159,1605,66.2,91
24,Telangana,997,69,1066,1,0,0,1,9,9,0,2,11,12,1054,81.8,98.9
25,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
26,Uttar Pradesh,802,123,925,3,0,0,3,0,14,0,39,53,56,869,26.4,93.9
27,Uttarakhand,131,18,149,0,0,0,0,0,16,0,2,18,18,131,88.9,87.9
28,West Bengal,95,11,106,0,0,0,0,0,0,0,0,0,0,106,NA,100
Total State(S),Total State(S),27861,3203,31064,160,4,48,212,211,1040,43,1154,2237,2449,28615,46.5,92.1
29,Andaman and Nicobar Islands,44,3,47,0,0,0,0,0,0,1,4,5,5,42,0,89.4
30,Chandigarh,24,7,31,1,0,0,1,0,0,0,2,2,3,28,0,90.3
31,Dadra and Nagar Haveli and Daman and Diu,3,0,3,0,0,0,0,0,0,0,0,0,0,3,NA,100
32,Delhi,82,27,109,0,0,3,3,0,3,0,6,9,12,97,33.3,89
33,Jammu and Kashmir,629,80,709,1,1,2,4,5,8,3,10,21,25,684,38.1,96.5
34,Ladakh,1,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,100
35,Lakshadweep,2,1,3,0,0,0,0,0,0,0,0,0,0,3,NA,100
36,Puducherry,9,3,12,0,0,0,0,0,1,0,0,1,1,11,100,91.7
Total UT(S),Total UT(S),794,121,915,2,1,5,8,5,12,4,22,38,46,869,31.6,95
Total All India,Total All India,28655,3324,31979,162,5,53,220,216,1052,47,1176,2275,2495,29484,46.2,92.2
