Sl. No.,State/UT,Trap Cases,Disproportionate Assets,Criminal Misconduct,Others,Total
1,Andhra Pradesh,110,17,33,0,160
2,Arunachal Pradesh,0,0,9,0,9
3,Assam,91,12,5,2,110
4,Bihar,30,9,1,0,40
5,Chhattisgarh,0,0,0,0,0
6,Goa,0,0,0,0,0
7,Gujarat,183,9,2,11,205
8,Haryana,167,1,14,23,205
9,Himachal Pradesh,14,3,24,32,73
10,Jharkhand,46,5,4,0,55
11,Karnataka,245,84,21,12,362
12,Kerala,54,20,37,100,211
13,Madhya Pradesh,180,17,65,0,262
14,Maharashtra,795,12,5,0,812
15,Manipur,0,0,0,0,0
16,Meghalaya,0,0,2,0,2
17,Mizoram,0,0,4,0,4
18,Nagaland,0,0,0,1,1
19,Odisha,98,85,84,0,267
20,Punjab,133,15,104,35,287
21,Rajasthan,284,15,17,0,316
22,Sikkim,1,0,0,0,1
23,Tamil Nadu,159,31,63,49,302
24,Telangana,73,6,8,0,87
25,Tripura,0,0,0,0,0
26,Uttar Pradesh,152,13,4,0,169
27,Uttarakhand,18,3,0,0,21
28,West Bengal,0,5,0,3,8
Total State(S),Total State(S),2833,362,506,268,3969
29,Andaman and Nicobar Islands,0,0,8,0,8
30,Chandigarh,2,0,5,0,7
31,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0
32,Delhi,8,1,10,0,19
33,Jammu and Kashmir,32,2,27,1,62
34,Ladakh,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0
36,Puducherry,0,0,4,0,4
Total UT (S),Total UT (S),42,3,54,1,100
Total All India,Total All India,2875,365,560,269,4069
