name,state,constituency,house,election,party,party_short,declared_criminal_cases,has_serious_declared,convictions_declared,review_status,membership_status,status_as_of,profile,sources
Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Lok Sabha,2024 general election,Shiv Sena (Uddhav Balasaheb Thackrey),SHS(UBT),0,no,0,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/aashtikar-patil-nagesh-bapurao-hingoli/,ogd-ls2024-results; adr-ls2024-report
Abdul Rashid Sheikh,Jammu and Kashmir,BARAMULLA,Lok Sabha,2024 general election,Independent,IND,3,yes,0,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/abdul-rashid-sheikh-baramulla/,ogd-ls2024-results; adr-ls2024-report
Abhay Kumar Sinha,Bihar,Aurangabad,Lok Sabha,2024 general election,Rashtriya Janata Dal,RJD,16,yes,0,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/abhay-kumar-sinha-aurangabad/,ogd-ls2024-results; adr-ls2024-report
Abhijit Gangopadhyay,West Bengal,Tamluk,Lok Sabha,2024 general election,Bharatiya Janata Party,BJP,0,no,0,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/abhijit-gangopadhyay-tamluk/,ogd-ls2024-results; adr-ls2024-report
Abhishek Banerjee,West Bengal,Diamond harbour,Lok Sabha,2024 general election,All India Trinamool Congress,AITC,2,no,0,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/abhishek-banerjee-diamond-harbour/,ogd-ls2024-results; adr-ls2024-report
Abu Taher Khan,West Bengal,Murshidabad,Lok Sabha,2024 general election,All India Trinamool Congress,AITC,3,yes,0,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/abu-taher-khan-murshidabad/,ogd-ls2024-results; adr-ls2024-report
Adhikari Deepak (Dev),West Bengal,Ghatal,Lok Sabha,2024 general election,All India Trinamool Congress,AITC,0,no,0,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/adhikari-deepak-dev-ghatal/,ogd-ls2024-results; adr-ls2024-report
Adhikari Soumendu,West Bengal,Kanthi,Lok Sabha,2024 general election,Bharatiya Janata Party,BJP,6,yes,0,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/adhikari-soumendu-kanthi/,ogd-ls2024-results; adr-ls2024-report
Aditya Yadav,Uttar Pradesh,Badaun,Lok Sabha,2024 general election,Samajwadi Party,SP,0,no,0,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/aditya-yadav-badaun/,ogd-ls2024-results; adr-ls2024-report
Adv Adoor Prakash,Kerala,Attingal,Lok Sabha,2024 general election,Indian National Congress,INC,13,no,3,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/adv-adoor-prakash-attingal/,ogd-ls2024-results; adr-ls2024-report
Adv. Dean Kuriakose,Kerala,Idukki,Lok Sabha,2024 general election,Indian National Congress,INC,88,yes,18,machine_checked,winner_at_election,2024-06-04,https://www.indiatechcollective.org/politicians/adv-dean-kuriakose-idukki/,ogd-ls2024-results; adr-ls2024-report
