state,code,crt_cases_pending_trial_from_the_previous_year,crt_cases_sent_for_trial_during_the_year,crt_total_cases_for_trial,crt_cases_abated_by_court,crt_cases_withdrawn_from_prosecution,crt_cases_quashed,crt_cases_disposed_off_without_trial,crt_cases_stayed,crt_cases_convicted,crt_cases_discharged,crt_cases_acquitted,crt_cases_in_which_trials_were_completed,crt_cases_disposed_off_by_courts,crt_cases_pending_trial_at_end_of_the_year,crt_conviction_rate,crt_pendency_percentage,pol_cases_pending_investigation_from_previous_year,pol_cases_reported_during_the_year,pol_cases_reopened_for_investigation,pol_cases_transferred_to_other_state_or_agency,pol_cases_with_drawn_by_the_govt,pol_cases_in_which_final_reports_submitted,pol_cases_chargesheeted,pol_cases_pending_investigation_at_end_of_the_year,reg_trap_cases,reg_disproportionate_assets,reg_criminal_misconduct,reg_others,reg_total
Andaman and Nicobar Islands,AN,44,3,47,0,0,0,0,0,0,1,4,5,5,42,0,89.4,13,8,0,0,0,0,3,18,0,0,8,0,8
Andhra Pradesh,AP,947,153,1100,8,0,0,8,6,20,0,21,41,49,1051,48.8,95.5,462,160,0,0,0,34,153,435,110,17,33,0,160
Arunachal Pradesh,AR,42,5,47,0,0,0,0,0,0,0,0,0,0,47,,100,82,9,0,0,0,6,5,80,0,0,9,0,9
Assam,AS,74,44,118,0,0,0,0,0,2,0,1,3,3,115,66.7,97.5,116,110,0,0,0,4,44,178,91,12,5,2,110
Bihar,BR,1802,80,1882,10,0,1,11,7,10,0,10,20,31,1851,50,98.4,355,40,0,0,0,6,80,309,30,9,1,0,40
Chhattisgarh,CG,212,5,217,0,0,0,0,1,7,0,8,15,15,202,46.7,93.1,53,0,3,0,0,6,5,45,0,0,0,0,0
Chandigarh,CH,24,7,31,1,0,0,1,0,0,0,2,2,3,28,0,90.3,17,7,0,0,0,2,7,15,2,0,5,0,7
Dadra and Nagar Haveli and Daman and Diu,DH,3,0,3,0,0,0,0,0,0,0,0,0,0,3,,100,4,0,0,0,0,0,0,4,0,0,0,0,0
Delhi,DL,82,27,109,0,0,3,3,0,3,0,6,9,12,97,33.3,89,157,19,2,0,1,12,27,138,8,1,10,0,19
Goa,GA,24,0,24,0,0,0,0,0,1,0,0,1,1,23,100,95.8,38,0,0,0,0,0,0,38,0,0,0,0,0
Gujarat,GJ,2075,265,2340,10,0,0,10,1,47,5,47,99,109,2231,47.5,95.3,282,205,0,0,0,11,265,211,183,9,2,11,205
Himachal Pradesh,HP,319,31,350,0,1,0,1,0,2,4,21,27,28,322,7.4,92,155,73,3,1,0,3,31,196,14,3,24,32,73
Haryana,HR,393,197,590,0,0,0,0,0,9,0,30,39,39,551,23.1,93.4,223,205,1,0,0,2,197,230,167,1,14,23,205
Jharkhand,JH,570,69,639,0,0,1,1,2,5,0,18,23,24,615,21.7,96.2,121,55,0,0,0,8,69,99,46,5,4,0,55
Jammu and Kashmir,JK,629,80,709,1,1,2,4,5,8,3,10,21,25,684,38.1,96.5,452,62,13,3,0,24,80,420,32,2,27,1,62
Karnataka,KA,1495,195,1690,13,0,28,41,70,35,11,74,120,161,1529,29.2,90.5,1298,362,0,1,1,15,195,1448,245,84,21,12,362
Kerala,KL,1055,108,1163,16,1,6,23,6,312,10,68,390,413,750,80,64.5,167,211,24,1,0,97,108,196,54,20,37,100,211
Ladakh,LA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,,100,2,0,0,0,0,0,0,2,0,0,0,0,0
Lakshadweep,LD,2,1,3,0,0,0,0,0,0,0,0,0,0,3,,100,7,0,0,0,0,0,1,6,0,0,0,0,0
Maharashtra,MH,6747,522,7269,21,0,0,21,0,21,9,316,346,367,6902,6.1,95,1507,812,1,0,0,4,522,1794,795,12,5,0,812
Meghalaya,ML,8,0,8,0,0,0,0,0,0,0,0,0,0,8,,100,18,2,0,0,0,1,0,19,0,0,2,0,2
Manipur,MN,11,3,14,0,0,0,0,0,0,0,7,7,7,7,0,50,36,0,0,0,0,0,3,33,0,0,0,0,0
Madhya Pradesh,MP,729,287,1016,0,0,0,0,0,163,0,71,234,234,782,69.7,77,650,262,0,0,0,38,287,587,180,17,65,0,262
Mizoram,MZ,12,8,20,0,0,0,0,0,8,0,0,8,8,12,100,60,14,4,0,0,0,4,8,6,0,0,4,0,4
Nagaland,NL,6,1,7,0,0,0,0,0,0,0,0,0,0,7,,100,24,1,0,0,0,5,1,19,0,0,0,1,1
Odisha,OD,3633,361,3994,39,0,0,39,1,124,0,126,250,289,3705,49.6,92.8,1519,267,0,0,0,47,361,1378,98,85,84,0,267
Punjab,PB,536,182,718,14,0,0,14,12,33,0,56,89,103,615,37.1,85.7,515,287,2,2,1,13,182,606,133,15,104,35,287
Puducherry,PY,9,3,12,0,0,0,0,0,1,0,0,1,1,11,100,91.7,22,4,1,0,0,0,3,24,0,0,4,0,4
Rajasthan,RJ,3549,287,3836,12,0,6,18,91,110,2,189,301,319,3517,36.5,91.7,1763,316,27,0,0,61,287,1758,284,15,17,0,316
Sikkim,SK,9,3,12,0,1,0,1,0,0,2,1,3,4,8,0,66.7,31,1,0,0,0,6,3,23,1,0,0,0,1
Telangana,TG,997,69,1066,1,0,0,1,9,9,0,2,11,12,1054,81.8,98.9,361,87,0,0,0,4,69,375,73,6,8,0,87
